109	807	4	10
1	3	10	0	3	1	2	2	3	3	3	4	3	5	2	6	0	7	2	8	3	9	2	
2	2	10	10	2	11	2	12	3	13	2	14	2	0	2	15	2	16	2	2	2	8	3	
3	1	10	11	1	2	1	12	1	16	1	17	1	18	1	19	1	20	1	21	0	15	0	
4	0	10	22	0	23	0	24	0	25	0	26	0	27	0	28	1	29	0	19	0	30	0	
5	3	10	31	2	32	3	15	3	2	2	19	2	33	3	27	3	24	3	30	2	34	3	
6	2	10	34	2	0	2	35	3	36	2	37	2	12	2	15	2	19	2	38	3	24	2	
7	0	10	12	1	39	1	34	0	40	1	33	1	41	1	20	1	8	1	42	1	10	0	
8	0	10	0	0	39	0	43	0	2	1	44	0	22	0	45	0	46	0	19	0	4	1	
9	0	10	47	0	48	0	49	0	34	0	50	1	51	0	26	0	33	0	15	2	8	0	
10	0	10	1	2	15	0	52	0	53	0	33	0	50	0	20	0	11	0	2	1	8	0	
11	0	10	49	0	24	0	30	0	4	0	38	0	53	1	34	0	18	0	54	0	2	1	
12	1	10	49	0	1	1	0	1	9	0	42	0	3	1	33	1	7	1	30	1	25	1	
13	3	10	1	3	13	2	0	3	24	2	42	3	8	3	9	3	4	2	11	3	12	3	
14	1	10	11	1	34	0	35	1	55	1	8	1	56	1	57	2	43	0	15	0	5	1	
15	3	10	39	3	54	3	33	3	35	3	41	3	15	3	58	3	42	2	2	2	27	3	
16	0	10	46	0	55	0	33	0	59	0	49	0	60	0	10	1	24	0	30	0	61	0	
17	3	10	12	3	39	3	9	3	38	3	16	3	20	3	42	3	44	3	21	2	57	2	
18	1	10	42	1	2	1	39	1	25	1	16	1	17	1	8	1	60	1	12	1	53	1	
19	1	10	15	0	11	0	2	0	52	0	30	0	8	0	54	0	12	0	33	0	13	0	
20	1	10	12	0	10	0	35	1	46	1	14	1	22	1	8	1	54	0	15	0	60	1	
21	2	10	49	2	42	3	1	2	46	3	22	3	39	3	62	2	15	2	14	2	33	3	
22	3	10	12	3	10	3	16	3	8	3	55	2	21	3	34	1	22	3	54	2	20	3	
23	0	10	47	0	0	0	38	0	2	1	63	0	12	0	9	0	54	0	35	0	19	0	
24	1	10	48	1	52	1	24	2	61	0	36	1	12	1	64	0	22	0	53	1	46	1	
25	2	10	1	2	49	3	2	3	21	3	57	2	43	3	9	3	33	3	65	3	8	2	
26	3	10	3	3	30	3	48	3	52	3	33	3	46	3	19	3	57	2	21	3	15	3	
27	3	10	1	3	2	3	66	2	12	3	24	3	51	3	55	2	22	3	33	3	8	3	
28	2	10	13	0	2	2	26	2	19	2	12	2	18	2	39	2	42	2	28	1	50	2	
29	3	10	11	3	2	3	67	3	30	3	46	3	55	3	12	3	34	1	59	3	33	3	
30	1	10	2	0	30	0	34	0	26	1	19	1	4	1	21	0	40	1	9	0	58	1	
31	2	10	47	2	0	3	12	2	14	2	9	2	8	3	30	3	34	2	42	2	19	2	
32	1	10	10	1	24	1	42	1	14	1	8	1	26	1	33	1	68	1	30	1	34	0	
33	0	10	18	0	57	1	8	0	24	1	15	1	2	0	10	1	40	1	20	0	33	1	
34	0	10	0	1	15	1	23	1	2	0	13	0	52	0	30	1	12	1	14	0	34	1	
35	3	10	35	3	69	3	3	3	24	3	22	3	52	3	55	2	25	2	13	3	19	2	
36	3	10	11	3	15	3	69	3	24	3	36	2	70	3	27	3	38	3	50	3	46	3	
37	3	10	22	3	30	2	39	3	15	3	57	2	27	3	41	3	28	2	4	3	34	3	
38	2	10	10	3	30	2	60	2	18	2	33	2	2	2	16	3	15	3	28	2	21	2	
39	3	10	71	3	4	3	22	2	7	2	19	2	8	2	12	3	40	3	24	3	21	3	
40	2	10	36	2	9	2	16	2	22	2	18	2	40	2	26	2	28	2	12	2	72	2	
41	2	10	73	2	74	2	48	2	0	2	34	2	15	2	30	2	33	2	29	2	71	2	
42	0	10	15	1	10	1	0	0	34	1	39	0	42	0	64	0	57	1	11	0	9	1	
43	3	10	48	3	47	3	55	3	46	3	33	3	30	3	24	3	8	3	19	3	42	3	
44	2	10	21	2	34	2	36	2	42	1	19	2	8	2	20	2	33	2	13	2	65	2	
45	0	10	1	0	30	1	66	0	2	1	15	1	52	0	8	0	19	1	38	0	9	0	
46	0	10	15	0	0	0	36	0	1	1	42	0	22	0	6	0	39	0	46	0	8	0	
47	1	10	10	1	48	0	39	1	33	1	25	1	30	1	4	0	16	1	8	1	54	1	
48	2	10	12	2	30	2	33	2	34	2	60	2	40	2	22	2	46	2	2	2	13	3	
49	2	10	49	2	75	2	24	2	1	3	8	3	2	2	27	2	15	2	34	2	72	2	
50	1	10	34	1	42	0	66	0	49	1	7	1	36	1	22	1	30	1	8	1	26	1	
51	2	10	22	3	23	3	24	3	39	3	16	3	1	2	8	3	38	2	57	2	53	2	
52	2	10	10	2	3	2	12	2	38	2	55	2	39	2	11	2	46	2	41	2	19	2	
53	1	10	15	0	60	1	55	0	34	1	36	1	46	1	16	0	49	0	12	1	28	1	
54	0	10	22	1	33	0	7	1	15	0	42	0	34	0	11	0	2	1	8	0	27	1	
55	2	10	34	2	11	3	76	3	77	3	13	3	3	3	33	3	42	3	2	2	35	3	
56	1	10	78	0	11	1	35	1	21	0	4	1	8	1	36	1	40	1	34	0	44	1	
57	3	10	0	0	42	3	48	3	79	3	4	3	36	2	51	2	7	2	44	2	46	3	
58	3	10	36	2	21	3	55	2	12	3	8	3	19	3	24	3	35	3	27	3	65	3	
59	1	10	49	1	9	1	24	0	7	1	40	1	25	1	22	1	50	1	52	1	10	1	
60	2	10	80	2	38	3	79	3	11	3	2	2	33	3	8	3	52	2	53	3	49	3	
61	3	10	39	3	42	3	22	3	61	3	81	3	12	3	62	3	34	3	50	2	18	3	
62	0	10	80	0	38	0	75	0	33	0	12	1	1	1	9	0	6	0	60	0	41	0	
63	1	10	82	0	39	1	1	1	36	1	2	1	54	1	42	0	18	0	33	0	83	0	
64	2	10	82	2	38	2	12	2	46	2	39	2	1	3	22	2	34	2	54	2	28	2	
65	3	10	54	3	0	3	39	3	33	3	25	2	40	3	38	3	2	3	4	3	35	3	
66	3	10	67	2	24	2	12	3	1	3	38	3	55	2	15	2	22	2	46	3	8	3	
67	2	10	35	2	54	2	10	2	7	2	8	2	12	2	42	2	61	2	72	2	21	2	
68	0	10	12	1	35	0	30	1	25	0	26	0	38	0	18	0	54	0	19	0	40	0	
69	2	10	69	2	84	1	12	2	22	2	39	2	16	2	33	2	34	2	57	2	4	1	
70	2	10	30	2	19	2	54	2	16	2	9	2	27	2	57	2	21	2	24	2	65	2	
