20
-1	3	-2	0	-3	1	-4	3	-5	1	-6	2	-7	2	-8	0	-9	1	-10	2	-11	1	-12	3	-13	0	-14	1	-15	3	-16	2	-17	2	-18	2	-19	0	-20	1	
0	-1	2	-2	0	-3	1	-4	3	-5	1	-6	2	-7	2	-8	0	-9	1	-10	3	-11	1	-12	3	-13	0	-14	3	-15	1	-16	2	-17	2	-18	3	-19	0	-20	1	
1	-1	3	-2	2	-3	1	-4	3	-5	0	-6	2	-7	0	-8	3	-9	1	-10	3	-11	1	-12	0	-13	0	-14	1	-15	3	-16	2	-17	1	-18	2	-19	2	-20	3	
2	-1	3	-2	1	-3	1	-4	3	-5	0	-6	2	-7	2	-8	1	-9	1	-10	0	-11	1	-12	3	-13	0	-14	1	-15	3	-16	2	-17	1	-18	2	-19	3	-20	1	
3	-1	3	-2	0	-3	1	-4	3	-5	1	-6	2	-7	2	-8	0	-9	1	-10	2	-11	1	-12	3	-13	3	-14	1	-15	3	-16	2	-17	2	-18	2	-19	0	-20	2	
4	-1	3	-2	1	-3	3	-4	3	-5	2	-6	2	-7	2	-8	3	-9	1	-10	1	-11	1	-12	3	-13	0	-14	1	-15	1	-16	2	-17	2	-18	1	-19	0	-20	0	
5	-1	3	-2	3	-3	0	-4	3	-5	1	-6	2	-7	2	-8	3	-9	1	-10	2	-11	1	-12	3	-13	1	-14	1	-15	3	-16	2	-17	2	-18	2	-19	0	-20	1	
6	-1	2	-2	0	-3	3	-4	3	-5	3	-6	2	-7	2	-8	0	-9	0	-10	1	-11	1	-12	3	-13	0	-14	0	-15	2	-16	0	-17	3	-18	0	-19	2	-20	2	
7	-1	3	-2	0	-3	0	-4	3	-5	1	-6	2	-7	0	-8	3	-9	1	-10	2	-11	2	-12	1	-13	0	-14	1	-15	3	-16	2	-17	2	-18	2	-19	2	-20	3	
8	-1	3	-2	2	-3	1	-4	3	-5	1	-6	2	-7	1	-8	0	-9	1	-10	2	-11	2	-12	0	-13	0	-14	2	-15	2	-16	2	-17	2	-18	2	-19	0	-20	1	
