85	1000	2	20
0	0	20	20	0	0	0	1	1	3	1	21	1	17	0	22	0	23	0	7	1	8	1	24	0	10	0	25	0	12	1	6	1	26	0	27	0	28	0	19	0	29	0	
1	0	20	20	0	0	1	1	0	3	1	21	0	17	0	22	0	23	0	7	0	8	1	24	0	10	0	25	1	12	0	6	1	26	0	27	0	28	0	19	0	29	0	
2	0	20	20	0	0	1	1	0	3	1	21	1	17	0	22	0	23	0	7	0	8	0	24	0	10	0	25	0	12	1	6	1	26	0	27	0	28	0	19	0	29	0	
3	1	20	20	1	0	0	1	1	3	1	21	1	17	1	22	1	23	0	7	0	8	0	24	1	10	1	25	1	12	1	6	1	26	1	27	1	28	1	19	1	29	1	
4	0	20	20	0	0	1	1	0	3	1	21	1	17	0	22	0	23	0	7	0	8	1	24	0	10	0	25	1	12	1	6	1	26	0	27	0	28	0	19	0	29	0	
5	1	20	20	1	0	0	1	1	3	1	21	0	17	1	22	1	23	1	7	0	8	0	24	1	10	1	25	0	12	0	6	1	26	1	27	1	28	1	19	1	29	1	
6	0	20	20	0	0	1	1	0	3	1	21	1	17	0	22	0	23	0	7	0	8	1	24	0	10	0	25	0	12	1	6	1	26	0	27	0	28	0	19	0	29	0	
7	1	20	20	0	0	0	1	0	3	1	21	1	17	0	22	0	23	0	7	0	8	1	24	0	10	1	25	0	12	1	6	1	26	1	27	0	28	1	19	1	29	0	
8	0	20	20	0	0	0	1	0	3	1	21	0	17	0	22	0	23	0	7	0	8	0	24	0	10	0	25	1	12	0	6	1	26	0	27	0	28	0	19	0	29	0	
9	0	20	20	0	0	1	1	0	3	1	21	1	17	0	22	0	23	1	7	0	8	0	24	0	10	0	25	1	12	0	6	1	26	0	27	0	28	0	19	0	29	0	
10	1	20	20	0	0	1	1	0	3	1	21	1	17	0	22	1	23	1	7	1	8	1	24	0	10	0	25	1	12	1	6	1	26	0	27	0	28	1	19	0	29	0	
11	0	20	20	0	0	1	1	1	3	1	21	1	17	0	22	0	23	1	7	0	8	0	24	0	10	0	25	0	12	1	6	1	26	0	27	0	28	0	19	0	29	0	
12	0	20	20	0	0	0	1	1	3	1	21	1	17	0	22	0	23	0	7	0	8	1	24	0	10	0	25	1	12	1	6	1	26	0	27	0	28	0	19	0	29	0	
13	0	20	20	0	0	0	1	1	3	1	21	1	17	0	22	0	23	0	7	0	8	0	24	0	10	0	25	1	12	1	6	1	26	0	27	0	28	0	19	0	29	0	
14	1	20	20	1	0	1	1	1	3	1	21	0	17	1	22	1	23	1	7	1	8	1	24	0	10	1	25	1	12	0	6	1	26	1	27	1	28	1	19	1	29	1	
15	0	20	20	0	0	0	1	0	3	1	21	1	17	0	22	0	23	1	7	0	8	0	24	0	10	0	25	1	12	1	6	1	26	0	27	0	28	0	19	0	29	0	
16	0	20	20	0	0	1	1	0	3	1	21	1	17	0	22	0	23	0	7	0	8	1	24	0	10	0	25	1	12	1	6	1	26	0	27	0	28	0	19	0	29	0	
17	1	20	20	1	0	0	1	0	3	1	21	1	17	1	22	1	23	1	7	1	8	0	24	0	10	1	25	0	12	1	6	1	26	0	27	1	28	1	19	1	29	0	
18	1	20	20	1	0	1	1	0	3	1	21	1	17	1	22	1	23	1	7	1	8	1	24	0	10	0	25	1	12	0	6	1	26	1	27	0	28	1	19	1	29	0	
19	0	20	20	0	0	0	1	0	3	1	21	0	17	0	22	0	23	1	7	1	8	0	24	0	10	0	25	1	12	1	6	1	26	0	27	0	28	0	19	0	29	0	
20	0	20	0	1	31	0	1	0	14	0	3	1	59	0	17	0	6	0	60	0	61	0	7	0	8	1	62	0	10	0	25	1	12	0	43	0	19	0	26	0	28	0	
21	0	20	0	0	31	0	1	0	14	1	3	1	59	0	17	1	6	0	60	0	61	0	7	0	8	0	62	0	10	0	25	1	12	1	43	0	19	0	26	0	28	0	
22	0	20	0	0	31	0	1	1	14	0	3	1	59	0	17	1	6	0	60	0	61	0	7	1	8	1	62	0	10	0	25	1	12	1	43	0	19	0	26	1	28	0	
23	1	20	0	1	31	1	1	0	14	1	3	1	59	1	17	0	6	0	60	1	61	1	7	1	8	0	62	1	10	1	25	0	12	1	43	1	19	1	26	1	28	1	
24	0	20	0	1	31	0	1	0	14	0	3	1	59	0	17	0	6	0	60	0	61	0	7	0	8	1	62	0	10	0	25	0	12	1	43	0	19	0	26	0	28	0	
25	0	20	0	0	31	0	1	0	14	1	3	1	59	0	17	0	6	0	60	0	61	0	7	1	8	0	62	0	10	0	25	0	12	0	43	0	19	0	26	0	28	0	
26	0	20	0	1	31	0	1	0	14	0	3	1	59	0	17	0	6	0	60	0	61	0	7	0	8	1	62	0	10	0	25	0	12	1	43	0	19	0	26	0	28	0	
27	0	20	0	0	31	0	1	0	14	0	3	1	59	0	17	0	6	0	60	0	61	0	7	1	8	0	62	0	10	0	25	0	12	1	43	0	19	0	26	0	28	0	
28	1	20	0	0	31	1	1	1	14	1	3	1	59	1	17	1	6	0	60	1	61	1	7	1	8	1	62	1	10	1	25	0	12	0	43	1	19	1	26	1	28	1	
29	1	20	0	1	31	1	1	0	14	1	3	1	59	0	17	1	6	0	60	1	61	1	7	1	8	0	62	0	10	1	25	0	12	1	43	0	19	0	26	0	28	1	
30	0	20	0	1	31	0	1	0	14	0	3	1	59	0	17	0	6	0	60	0	61	0	7	0	8	1	62	0	10	0	25	0	12	1	43	0	19	0	26	0	28	0	
31	1	20	0	0	31	1	1	0	14	0	3	1	59	1	17	1	6	0	60	1	61	1	7	0	8	0	62	0	10	1	25	0	12	1	43	1	19	1	26	1	28	1	
